City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vestmannaeyjar,63.4427,-20.2734,-5.02,55,20,9.07,IS,1678219967
1,flinders,-34.5833,150.8552,18.36,66,0,0.89,AU,1678219730
2,punta arenas,-53.15,-70.9167,15.06,44,40,15.43,CL,1678219971
3,east london,-33.0153,27.9116,22.18,88,100,4.31,ZA,1678219842
4,bonthe,7.5264,-12.505,26.26,73,98,4.1,SL,1678219973
5,bredasdorp,-34.5322,20.0403,18.16,82,95,1.21,ZA,1678219763
6,clarence town,-32.5833,151.7833,22.14,47,0,2.19,AU,1678219976
7,zeya,53.75,127.2667,-21.46,95,22,1.43,RU,1678219977
8,vaini,-21.2,-175.2,26.18,57,32,7.12,TO,1678219978
9,formosa,-26.1775,-58.1781,32.54,40,100,3.69,AR,1678219979
10,upernavik,72.7868,-56.1549,-12.45,96,70,3.4,GL,1678219713
11,rikitea,-23.1203,-134.9692,23.88,84,100,12.92,PF,1678219982
12,hithadhoo,-0.6,73.0833,27.95,75,24,5.54,MV,1678219983
13,barrow,71.2906,-156.7887,-5.99,86,100,3.6,US,1678219985
14,ushuaia,-54.8,-68.3,10.79,91,95,5.38,AR,1678219986
15,tarko-sale,64.9225,77.785,-29.58,99,10,5.15,RU,1678219988
16,hermanus,-34.4187,19.2345,19.33,85,100,4.13,ZA,1678219991
17,port elizabeth,-33.918,25.5701,21.29,97,20,8.23,ZA,1678219992
18,faanui,-16.4833,-151.75,27.94,71,100,6.82,PF,1678219994
19,najran,17.4924,44.1277,20.51,24,10,0.82,SA,1678219996
20,kahului,20.8947,-156.47,26.09,70,20,8.23,US,1678219717
21,westfield,42.1251,-72.7495,5.07,48,100,8.75,US,1678219471
22,yellowknife,62.456,-114.3525,-18.58,64,98,4.47,CA,1678219725
23,salalah,17.0151,54.0924,25.05,44,0,1.03,OM,1678220001
24,atuona,-9.8,-139.0333,26.26,76,39,3.93,PF,1678220003
25,obo,5.3998,26.4869,29.98,29,98,1.4,CF,1678220005
26,constitucion,-35.3333,-72.4167,18.96,69,99,3.57,CL,1678220006
27,muisne,0.6,-80.0333,27.87,76,100,4.26,EC,1678220008
28,ayan,56.45,138.1667,-16.44,85,100,2.11,RU,1678220009
29,ponta do sol,32.6667,-17.1,20.4,88,96,1.98,PT,1678220011
30,abu kamal,34.4506,40.9171,16.8,37,100,2.17,SY,1678220012
31,ust-maya,60.4167,134.5333,-21.63,100,100,0.76,RU,1678220015
32,vanderhoof,54.0166,-124.0198,-9.85,87,100,1.46,CA,1678220017
